Product,Weight (kg),Dimensions (cm),Material,MaxLoad (kg)
Product X #1,14.67,56x47x35,Wood,68
Product X #2,13.79,93x57x13,Titanium,273
Product Y #3,10.66,72x37x37,Titanium,275
Product A #4,12.42,44x15x28,Steel,160
Product A #5,8.25,58x23x5,Titanium,151
Product Z #6,23.66,30x19x39,Iron,223
Product X #7,8.37,85x13x40,Carbon,48
Product Y #8,18.58,43x41x34,Carbon,33
Product D #9,3.56,41x42x37,Steel,64
Product D #10,1.31,66x57x40,Titanium,218
Product D #11,19.25,37x48x11,Plastic,221
Product C #12,4.18,42x29x12,Iron,190
Product X #13,22.25,88x47x5,Plastic,256
Product E #14,14.39,98x49x16,Aluminum,150
Product X #15,24.64,29x49x38,Plastic,210
Product B #16,5.76,20x24x10,Plastic,214
Product Z #17,11.11,68x43x21,Aluminum,36
Product E #18,23.33,88x41x37,Titanium,151
Product E #19,8.68,50x15x33,Carbon,39
Product Y #20,9.95,40x14x35,Steel,142
Product Y #21,9.98,45x25x30,Steel,249
Product Y #22,6.01,58x26x14,Titanium,117
Product Z #23,14.73,48x12x40,Carbon,243
Product B #24,11.85,31x12x27,Wood,168
Product D #25,4.89,56x43x12,Aluminum,140
Product E #26,24.41,49x50x38,Steel,242
Product C #27,15.24,47x56x23,Iron,274
Product Y #28,2.09,74x24x37,Iron,157
Product A #29,14.54,72x59x23,Wood,213
Product B #30,18.15,79x55x40,Carbon,231
Product A #31,14.72,98x55x18,Steel,19
Product B #32,22.73,27x41x21,Wood,160
Product B #33,3.27,78x23x16,Steel,272
Product Y #34,18.91,79x28x24,Steel,30
Product Y #35,24.84,93x21x5,Aluminum,266
Product B #36,9.73,37x20x15,Iron,175
Product Z #37,22.33,30x13x21,Titanium,169
Product Y #38,9.79,90x48x37,Steel,33
Product C #39,21.93,52x27x10,Iron,232
Product Y #40,16.76,50x28x35,Steel,45
Product B #41,6.35,74x33x33,Plastic,175
Product A #42,10.53,78x37x5,Carbon,138
Product B #43,5.63,31x26x12,Steel,154
Product D #44,20.48,57x36x10,Plastic,209
Product E #45,2.33,51x27x10,Steel,151
Product Y #46,24.99,96x18x40,Plastic,123
Product A #47,23.74,64x30x18,Steel,170
Product B #48,8.11,83x21x9,Iron,42
Product X #49,19.6,20x16x38,Steel,244
Product D #50,7.29,27x50x17,Iron,77
Product D #51,17.01,41x48x32,Steel,100
Product C #52,18.07,93x22x31,Steel,91
Product A #53,6.56,92x37x35,Aluminum,297
Product Y #54,12.65,48x53x33,Plastic,228
Product X #55,13.15,77x27x30,Iron,163
Product D #56,4.3,60x49x10,Wood,51
Product E #57,15.67,90x19x7,Aluminum,170
Product Z #58,14.95,55x57x11,Carbon,23
Product X #59,5.09,94x10x33,Iron,174
Product Y #60,21.62,73x19x18,Carbon,189
Product D #61,20.33,41x43x37,Plastic,153
Product A #62,7.92,82x54x32,Wood,88
Product B #63,8.16,89x14x37,Iron,56
Product E #64,7.67,44x38x13,Iron,298
Product Y #65,13.21,89x55x28,Carbon,82
Product C #66,9.11,54x40x16,Steel,241
Product E #67,5.22,37x16x32,Carbon,24
Product A #68,20.64,43x57x37,Wood,210
Product C #69,4.18,88x17x39,Steel,206
Product Y #70,5.25,81x59x39,Iron,134
Product Y #71,15.11,28x45x26,Steel,266
Product Y #72,18.37,28x14x33,Titanium,40
Product E #73,13.59,52x26x18,Titanium,79
Product C #74,8.59,71x41x16,Aluminum,218
Product E #75,1.23,38x14x27,Plastic,217
Product Y #76,18.08,30x41x19,Wood,168
